cnpj,cnpj_basico,identificador_matriz_filial,situacao_cadastral,data_situacao_cadastral,data_de_inicio_atividade,cnae_fiscal_principal,uf,município,natureza_juridica,capital_social_da_empresa,porte_da_empresa,descricao,denominacoes
34018511000152,34018511,MATRIZ,ATIVA,2023-08-29,20190625,9700500,SP,6177,2135,"2000,00",MICRO EMPRESA,Serviços domésticos,OUTRAS ATIVIDADES DE SERVIÇOS
35515082000191,35515082,MATRIZ,ATIVA,2023-05-31,20191114,5620104,SP,6715,2135,"1000,00",MICRO EMPRESA,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,OUTRAS ATIVIDADES DE SERVIÇOS
34018745000108,34018745,MATRIZ,ATIVA,2023-03-23,20190625,1091101,SP,6969,2135,"5000,00",MICRO EMPRESA,Fabricação de produtos de panificação industrial,OUTRAS ATIVIDADES DE SERVIÇOS
35517505000102,35517505,MATRIZ,ATIVA,2023-03-22,20191114,2542000,SP,7107,2135,"50000,00",MICRO EMPRESA,"Fabricação de artigos de serralheria, exceto esquadrias",OUTRAS ATIVIDADES DE SERVIÇOS
34019275000199,34019275,MATRIZ,ATIVA,2023-07-10,20190625,4543900,SP,6687,2135,"10000,00",MICRO EMPRESA,Manutenção e reparação de motocicletas e motonetas,OUTRAS ATIVIDADES DE SERVIÇOS
35518421000193,35518421,MATRIZ,ATIVA,2023-06-29,20191114,4761001,SP,7017,2135,"800,00",MICRO EMPRESA,Comércio varejista de livros,OUTRAS ATIVIDADES DE SERVIÇOS
34021068000179,34021068,MATRIZ,ATIVA,2023-08-24,20190625,5620104,SP,6131,2135,"1000,00",MICRO EMPRESA,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,OUTRAS ATIVIDADES DE SERVIÇOS
35525605000180,35525605,MATRIZ,ATIVA,2023-10-23,20191114,5611204,SP,6547,2135,"100,00",MICRO EMPRESA,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",OUTRAS ATIVIDADES DE SERVIÇOS
34021140000168,34021140,MATRIZ,ATIVA,2023-08-22,20190625,3321000,SP,7243,2135,"1500,00",MICRO EMPRESA,Instalação de máquinas e equipamentos industriais,OUTRAS ATIVIDADES DE SERVIÇOS
35529047000121,35529047,MATRIZ,ATIVA,2023-11-28,20191116,7420001,SP,6789,2135,"100,00",MICRO EMPRESA,"Atividades de produção de fotografias, exceto aérea e submarina",OUTRAS ATIVIDADES DE SERVIÇOS
